|USER	|PASSWORD	|TRAVEL_DATE	|DESTINATION	|
|USER_1	|PASS_0	|2016-04-22	|CBBA	|
|USER_2	|PASS_1	|2016-04-07	|CBBA	|
|USER_3	|PASS_2	|2016-04-05	|CBBA	|
|USER_4	|PASS_3	|2016-04-08	|CBBA	|
|USER_5	|PASS_4	|2016-04-01	|CBBA	|
|USER_6	|PASS_5	|2016-04-03	|CBBA	|
|USER_7	|PASS_6	|2016-04-29	|CBBA	|
|USER_8	|PASS_7	|2016-04-26	|CBBA	|
|USER_9	|PASS_8	|2016-04-06	|CBBA	|
|USER_10	|PASS_9	|2016-04-20	|CBBA	|
|USER_11	|PASS_10	|2016-04-24	|CBBA	|
|USER_12	|PASS_11	|2016-04-20	|CBBA	|
|USER_13	|PASS_12	|2016-04-28	|CBBA	|
|USER_14	|PASS_13	|2016-04-29	|CBBA	|
|USER_15	|PASS_14	|2016-04-07	|CBBA	|
|USER_16	|PASS_15	|2016-04-26	|CBBA	|
|USER_17	|PASS_16	|2016-04-24	|CBBA	|
|USER_18	|PASS_17	|2016-04-10	|CBBA	|
|USER_19	|PASS_18	|2016-04-14	|CBBA	|
|USER_20	|PASS_19	|2016-04-09	|CBBA	|
|USER_21	|PASS_20	|2016-04-27	|CBBA	|
|USER_22	|PASS_21	|2016-04-26	|CBBA	|
|USER_23	|PASS_22	|2016-04-18	|CBBA	|
|USER_24	|PASS_23	|2016-04-09	|CBBA	|
|USER_25	|PASS_24	|2016-04-25	|CBBA	|
|USER_26	|PASS_25	|2016-04-15	|CBBA	|
|USER_27	|PASS_26	|2016-04-24	|CBBA	|
|USER_28	|PASS_27	|2016-04-07	|CBBA	|
|USER_29	|PASS_28	|2016-04-08	|CBBA	|
|USER_30	|PASS_29	|2016-04-27	|CBBA	|
|USER_31	|PASS_30	|2016-04-20	|CBBA	|
|USER_32	|PASS_31	|2016-04-24	|CBBA	|
|USER_33	|PASS_32	|2016-04-20	|CBBA	|
|USER_34	|PASS_33	|2016-04-04	|CBBA	|
|USER_35	|PASS_34	|2016-04-01	|CBBA	|
|USER_36	|PASS_35	|2016-04-03	|CBBA	|
|USER_37	|PASS_36	|2016-04-11	|CBBA	|
|USER_38	|PASS_37	|2016-04-11	|CBBA	|
|USER_39	|PASS_38	|2016-04-02	|CBBA	|
|USER_40	|PASS_39	|2016-04-20	|CBBA	|
|USER_41	|PASS_40	|2016-04-01	|CBBA	|
|USER_42	|PASS_41	|2016-04-16	|CBBA	|
|USER_43	|PASS_42	|2016-04-04	|CBBA	|
|USER_44	|PASS_43	|2016-04-12	|CBBA	|
|USER_45	|PASS_44	|2016-04-03	|CBBA	|
|USER_46	|PASS_45	|2016-04-09	|CBBA	|
|USER_47	|PASS_46	|2016-04-25	|CBBA	|
|USER_48	|PASS_47	|2016-04-18	|CBBA	|
|USER_49	|PASS_48	|2016-04-20	|CBBA	|
|USER_50	|PASS_49	|2016-04-18	|CBBA	|
|USER_51	|PASS_50	|2016-04-03	|CBBA	|
|USER_52	|PASS_51	|2016-04-07	|CBBA	|
|USER_53	|PASS_52	|2016-04-09	|CBBA	|
|USER_54	|PASS_53	|2016-04-09	|CBBA	|
|USER_55	|PASS_54	|2016-04-29	|CBBA	|
|USER_56	|PASS_55	|2016-04-26	|CBBA	|
|USER_57	|PASS_56	|2016-04-27	|CBBA	|
|USER_58	|PASS_57	|2016-04-04	|CBBA	|
|USER_59	|PASS_58	|2016-04-25	|CBBA	|
|USER_60	|PASS_59	|2016-04-11	|CBBA	|
|USER_61	|PASS_60	|2016-04-19	|CBBA	|
|USER_62	|PASS_61	|2016-04-26	|CBBA	|
|USER_63	|PASS_62	|2016-04-17	|CBBA	|
|USER_64	|PASS_63	|2016-04-05	|CBBA	|
|USER_65	|PASS_64	|2016-04-02	|CBBA	|
|USER_66	|PASS_65	|2016-04-10	|CBBA	|
|USER_67	|PASS_66	|2016-04-07	|CBBA	|
|USER_68	|PASS_67	|2016-04-22	|CBBA	|
|USER_69	|PASS_68	|2016-04-03	|CBBA	|
|USER_70	|PASS_69	|2016-04-12	|CBBA	|
|USER_71	|PASS_70	|2016-04-14	|CBBA	|
|USER_72	|PASS_71	|2016-04-19	|CBBA	|
|USER_73	|PASS_72	|2016-04-23	|CBBA	|
|USER_74	|PASS_73	|2016-04-14	|CBBA	|
|USER_75	|PASS_74	|2016-04-26	|CBBA	|
|USER_76	|PASS_75	|2016-04-18	|CBBA	|
|USER_77	|PASS_76	|2016-04-03	|CBBA	|
|USER_78	|PASS_77	|2016-04-18	|CBBA	|
|USER_79	|PASS_78	|2016-04-09	|CBBA	|
|USER_80	|PASS_79	|2016-04-14	|CBBA	|
|USER_81	|PASS_80	|2016-04-04	|CBBA	|
|USER_82	|PASS_81	|2016-04-11	|CBBA	|
|USER_83	|PASS_82	|2016-04-16	|CBBA	|
|USER_84	|PASS_83	|2016-04-23	|CBBA	|
|USER_85	|PASS_84	|2016-04-24	|CBBA	|
|USER_86	|PASS_85	|2016-04-15	|CBBA	|
|USER_87	|PASS_86	|2016-04-21	|CBBA	|
|USER_88	|PASS_87	|2016-04-20	|CBBA	|
|USER_89	|PASS_88	|2016-04-22	|CBBA	|
|USER_90	|PASS_89	|2016-04-24	|CBBA	|
|USER_91	|PASS_90	|2016-04-04	|CBBA	|
|USER_92	|PASS_91	|2016-04-01	|CBBA	|
|USER_93	|PASS_92	|2016-04-01	|CBBA	|
|USER_94	|PASS_93	|2016-04-26	|CBBA	|
|USER_95	|PASS_94	|2016-04-01	|CBBA	|
|USER_96	|PASS_95	|2016-04-26	|CBBA	|
|USER_97	|PASS_96	|2016-04-09	|CBBA	|
|USER_98	|PASS_97	|2016-04-12	|CBBA	|
|USER_99	|PASS_98	|2016-04-19	|CBBA	|
|USER_100	|PASS_99	|2016-04-13	|CBBA	|
